Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
LE RETOUR DES CIGOGNES,yes,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,Chanson,Chanson française,"Alsace, ciel, cigognes, clochers, cycle de vie, fleurs, joie, nature, printemps, promesse,
 promesse d'amour, région, saison, soleil, village",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE ROCK'N'ROLL DES GALLINACES,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no -> Anna,NA,Children,Intermediate,Children's song,Chanson enfantine,"Animaux de la ferme, dindon, nature,oie, oiseaux, poule, son des animaux ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LE TRAIN DE 7H40,no,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,,Musique traditionnelle,,,,,,,,,,,,,,,,,,
LE VIEUX MACDONALD A UNE FERME,no,no,no,no,no,yes,"1. English : yes
2. French : yes
3. German : yes
4. Spanish : yes
5. Italian : yes","1. English->French : yes
2. French->English : yes
3.1. German->English : yes
3.2. German->French : yes
4.1. Spanish->English : yes
4.2. Spanish->French : yes
5.1. Italian->English : yes
5.2. Italian->French : yes","1. English : OLD MACDONALD HAS A FARM
2. French : LE VIEUX MACDONALD A UNE FERME
3. German : ONKEL FRITZ HAT EINEN BAUERNHOF
4. Spanish : MI GRANJA
5. Italian : NELLA VECCHIA FATTORIA",no -> Anna,NA,Children,Easy,Children's song,Chanson enfantine,"Animaux de la ferme, ane, Caneton, chevre, cochon, dindon, imitation des sons des 
animaux,mouton, poule, vache","English: Chicken, goat, donkey, duckling, pig, turkey, sheep, cow, farm animals
German: Chicken, farm animals, imitation of animal souds 
Italian: Cat, dog, farm aniamls, imitation of animals sound, cow
Spanish: Cock, dog, farm animals, imitation of animals sound, pig, sheep, cow","United-Kingdom, North-Western Europe","Royaume-Uni, Europe du Nord-Ouest",English,Anglais,TRUE,,,,,,,,,,,
LENO MORI,no,no,"Singing Notes : yes
Singing Scale : yes
BCMS Slow speed voice 1 : yes
BCMS Slow speed voice 2 : yes
BCMS Original speed voice 1 : yes
BCMS Original speed voice 2 : yes 
BCMS Lyrics in rhythm : yes ",no,no,yes,BCMS : yes,"BCMS->French : yes
BCMS->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Advanced,"Traditional song, Traditional music","Musique traditionnelle, Chant traditionnel ",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
LES FEUILLES MORTES,no,no,no,no,no,no,"1. French : yes
2. English : yes","1. French->English : yes
2. English->French : yes","1. French : LES FEUILLES MORTES
2. English : AUTUMN LEAVES",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,French chanson,Chanson française,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LES LAVANDIERES,no,no,no,no,no,yes,"1. French : yes
2. English : yes","1. French->English : yes
2. English->French : yes",,,,,,,,,,,,,,,,,,,,,,,,,
LES P'TITS PAPIERS,yes,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Chanson,Chanson française,"Amour, chagrin, émotions, émotions refoulées, indifférence, mensonge, papier, 
papier dessin, papier musique, sentiment, valeur monétaire ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LES PETITS POISSONS DANS L'EAU,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,Children's song,Chanson enfantine,"Animaux, l'eau, grand, nager, petit, poissons, taille",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
LEYLIM,yes,"Notes : yes
Scale : yes
Slow speed voice : yes
Original speed : yes
",no,no,no,yes,Armenian : yes,"Armenian->French : yes
Armenian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Traditional music","Musique traditionnelle, Chant traditionnel ",,,"Armenia, Western Asia","Arménie, Asie de l'Ouest",Armenian,Arménien,TRUE,,,,,,,,,,,
LIPKA,no,no,no,no,no,yes,Polish : yes,"Polish->French : yes
Polish->English : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional song, Traditional music","Musique traditionnelle, Chant traditionnel ",,,"Poland, Central Europe","Pologne, Europe centrale",Polish,Polonais,TRUE,,,,,,,,,,,
MAGGIE,yes,no,NA,no,no,yes,NA,NA,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Celtic music,Musique celtique,,,"Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",English,Anglais,FALSE,AUTOMNE 2023,,,,,,,,,,
MAJKA SINA U GORI RODILA,no,no,"Notes : yes
Scale : yes
BCMS Slow speed : yes
BCMS Original speed : yes
BCMS Lyrics in rhythm : yes ",no,no,yes,BCMS : no,"BCMS->English : no
BCMS->French : no",NA,no,NA,Children,Easy,"Traditional music, Traditional song, Children's song, Lullaby","Chant traditionnel, Musique traditionnelle, Chanson enfantine, Berceuse",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
MAKE TUME TUME PAPA,no,yes,yes,no,no,yes,Swahili : yes,"Swahili->English : yes
Swahili->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional song, Nursery rhyme, Children's song ","Chant traditionnel, Comptine, Chanson enfantine",,"Swahili: doubt, family, father, question and answer ","Mozambique, Southern Africa","Mozambique, Afrique australe",Swahili,Swahili,TRUE,,,,,,,,,,,
MAKEDONSKO DEVOJCE,no,no,no,no,no,yes,Macedonian : yes,"Macedonian->French : yes
Macedonian->English : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Traditional music","Musique traditionnelle, Chant traditionnel ",,,"Macedonia, Western Europe","Macédonie, Europe de l'Ouest",Macedonian,Macédonien,TRUE,,,,,,,,,,,
MAMI WATA,no,no,no,no,no,yes,Bambara : yes,"Bambara->English : yes
Bambara->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,Chant traditionnel,,"Bambara: Arrest, boredom, currency, little mermaid, nature, police, princess of the sea, 
sand, sea, seashell, water ","Burkina Faso, Western Africa","Burkina-Faso, Afrique de l'Ouest",Bambara,Bambara,TRUE,,,,,,,,,,,
MARCHE D'O'NEILL,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Celtic music,Musique celtique,,,"Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",?,?,FALSE,,,,,,,,,,,
MARCHE TSIGANE ,yes,no,NA,no,no,yes,NA,NA,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Romane Chave, Traditional music","Musique traditionnelle, Musique tsigane, Romane Chave",,,Europe,Europe,?,?,FALSE,,,,,,,,,,,
MARINHEIRO SO,no,no,no,no,no,yes,Portuguese : yes,"Portuguese->English : yes
Portuguese->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song, Capoeira song ",,,,"Brazil, South America","Brésil, Amérique du Sud",Portuguese,Portugais,TRUE,,,,,,,,,,,
MAYMOUNA,no,no,yes,no,no,no,Arabic : yes,"Arabic->French : yes
Arabic->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine",,"Arabic: Aïd, family, food, leaven, sharing, theft, trust","Tunisia, Northern Africa","Tunisie, Afrique du Nord",Arabic,Arabe,TRUE,,,,,,,,,,,
MISIRLOU,yes,no,no,no,no,yes,"1. French : yes
2. Greek : yes
3. Spanish : yes
4. Plurilingual : yes","1. French->English: yes 
2.1. Greek->English : yes
2.2. Greek->French : yes 
3.1. Spanish ->English: yes
3.2. Spanish->French : yes
4.1. Plurilingual->French : yes
4.2. Plurilingual->English : yes","1. French : MISIRLOU
2. Greek : MISIRLOU
3. Spanish : MISIRLOU
4. Plurilingual : MISIRLOU","French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle","Amour doux, bonheur, caravanes, cœur tendre, désert, nature, voyage","Greek: beauty, kiss, love, muse, passion, seduction, sweetness
Plurilingual: Betrayal, desire, intense love, kiss, muse, nostalgia, seduction, suffering
Spanish: Betrayal, desire, love, muse, pain, suffering, woman 
","Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,PRINTEMPS 2025,,,,,,,,,,
MOJ DILBERE,yes,no,no,no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Sevdalinka, Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle, Sevdalinka",,,"Bosnia and Herzegovina, Balkans, South-Eastern Europe","Bosnie-Herzégovine, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
MOJ E BUKURA,yes,no,no,no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
MOJA MALA NEMA MANE,yes,no,no,no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",VRAI,,,,,,,,,,,
MOLLA MAMAD JAAN,no,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Farsi lyrics in rhythm : yes
notes : yes
scale : yes
Farsi slow speed : yes
Farsi original speed : yes",no,no,yes,Farsi : yes,"Farsi->English : yes
Farsi-> French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Afghanistan, Southern Asia","Afghanistan, Asie méridionale",Farsi,Farsi,TRUE,,,,,,,,,,,
MON AMANT DE SAINT-JEAN,no,no,no,no,no,yes,French : yes,French->English : yes,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Easy,Chanson,Chanson française,"Amour, baiser, chagrin d'amour, danse, désillusion, illusion amoureuse, mensonge, 
mots doux, nostalgie, promesses, Saint Jean, séduction, tristesse ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,VRAI,,,,,,,,,,,
MON ANE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Accesoires, âne, animaux, maladies, parties du corps, remèdes, santé, soins, 
vêtements ",,"France, Western Europe","France, Europe de l'Ouest",French,Français,VRAI,,,,,,,,,,,
MON BEAU SAPIN,no,yes,"English : no 
French : yes
German : yes",no,no,yes,"1. English : yes
2. French : yes
3. German : yes","1. English->French : yes
2. French->English : yes
3.1. German->English : yes
3.2. German->French : yes","1. English : O CHRISTMAS TREE
2. French : MON BEAU SAPIN
3. German : O TANNENBAUM","French : yes
English : yes",NA,Children,Easy,Christmas song,Chant de Noël,"Beauté, esthétique, forêt, hiver, nature, sapin, saison, verdure","English: aesthetic, eauty, branch, courage, family, fir tree, friends, joy, nature, religion, season, summer, winter 
German: Christmas, fir tree, leaves, loyality, nature, season, snow, tree, winter ","Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,VRAI,,,,,,,,,,,
MON PETIT LAPIN A BIEN DU CHAGRIN,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Animal, émotion, jardin, nature, réconfort, taille, tristesse",,"France, Western Europe","France, Europe de l'Ouest",French,Français,VRAI,,,,,,,,,,,
MOUTH MUSIC,no,no,no,no,no,no,English : yes,English->French : yes,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Musique traditionnelle, Chant traditionnel ",,,"Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",English,Anglais,VRAI,,,,,,,,,,,
MUEDER ICH WILL A DING,no,no,no,no,no,yes,Alsatian : yes,"Alsatian->French : yes
Alsatian->English : yes",NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine",,"Alsatian: Change of mind, communication, desire, family, frustration, impatience, parent-child relationship, wish","Alsace, France, Western Europe","Alsace, France, Europe de l'Ouest",Alsatian,Alsacien,TRUE,,,,,,,,,,,
NANE TSORA,yes,no,no,no,no,yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Romane Chave, Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle, Musique tsigane, Romane Chave",,"Romani: Clothing, comparaison, dignity, family, father, feminity, hope, jewerly, poverty, social pressure",Europe,Europe,Romani,Romani,TRUE,,,,,,,,,,,
NE ME QUITTE PAS,no,no,no,no,no,no,French : yes,French->English : yes,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Francophone chanson,Chanson francophone,,,"Belgium, Western Europe","Belgique, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
NEIGE BLANCHE,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Douceur, froid, jeu, hivers, météo, nature, neige, parties du corps, sensation",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
NINO LINDO,no,no,no,no,no,yes,Spanish : yes,"Spanish->English : yes
Spanish->French: yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Christmas song, Traditional music, Traditional song","Chanson de noël, Musique traditionnelle, Chanson traditionnelle",,"Spanish: Admiration, beauty, beliefs, childhood, consolation, dependence, faith, farewell, gaze, love, offering, pain, sacrifice, separation, spirituality","Venezuela, South America ","Vénézuela, Amérique du Sud ",Spanish,Français,TRUE,,,,,,,,,,,
NISKA BANJA,yes,no,"Notes : yes
Scale : yes
BCMS Slow speed : yes
BCMS Original speed : yes
BCMS Lyrics in rhythm : yes ",no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
NOEL JAZZ,no,no,"Notes : yes
Scale : yes
French Slow speed : yes
French Original speed : yes
French Lyrics in rhythm : yes ",no,no,yes,French : yes,English->French : yes,NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Nursery rhyme","Chanson enfantine, Comptine","Célébration, chanson colective, convivialité, douceur, féstivité, musique, Noël, partage ",,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
O GRAND SAINT NICOLAS,no,no,no,no,no,no,French : yes,English->French : yes,NA,no,NA,Children,Easy,Children's song,Chanson enfantine,,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
O SOLE MIO,no,no,Italian : yes,no,no,yes,Italian : yes,"Italian->French : yes
Italian->English : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Neapolitan song,Chanson napolitaine,,"Italian: breeze, hope after the storm, joy, music, nature, storm, sun, sunny day, weather","Naples, Italy, Southern Europe","Naples, Italie, Europe du Sud",Italian,Italien,TRUE,,,,,,,,,,,
OIKOPEDO,yes,no,no,no,no,yes,Greek : yes,"Greek->English : yes
Greek->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,"Greek: Childhood, confinement, dream vs reality, enclosed space, escape, happiness, intrusive thoughts, nostalgia, prison, regret, search for happiness ","Greece, South-Eastern Europe","Grèce, Europe du Sud-Est",Greek,Grec,TRUE,,,,,,,,,,,
OJ NA GORI ZHITO,no,no,Ukrainian : yes,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
"OJ SAFETE, SAJO ",no,no,no,no,no,no,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Slovenia, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
OLELE MOLIBA MAKASI,no,no,no,no,no,yes,Lingala : yes,"Lingala->English : yes
Lingala->French : yes",NA,no,NA,Children,Easy,"Children's song, Nursery rhyme, Lullaby","Chanson enfantine, Comptine, Berceuse",,"Lingala: Benguela, courage, force naturel,  générosité, géographie, Kasai, pays,
 voyage","Congo, Central Africa","Congo, Afrique Centrale",Lingala,Lingala,TRUE,,,,,,,,,,,
ONE LOVE,no,no,no,no,no,no,English : yes,English->French : yes,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Reggae,Reggae,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
OPA CUPA,no,no,no,no,no,no,BCMS : yes,"BCMS->French : yes
BCMS->English : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Advanced,"Traditional song, Traditional music, Romane Chave","Musique traditionnelle, Chant traditionnel, Musique tsigane, Romane Chave ",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Slovenia, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",,,,,,,,,,,,
ORDA BIR KOY VAR UZAKTA,yes,no,no,no,no,yes,Turkish : yes,"Turkish->English : yes
Turkish->French : yes",NA,no,NA,Children,Easy,"Children's song, Nursery rhyme, Lullaby","Chanson enfantine, Comptine, Berceuse",,,"Turkey, Western Asia, South-Eastern Europe","Turquie, Asie de l'Ouest, Europe du Sud-Est",Turkish,Turc,TRUE,,,,,,,,,,,
OTCHI CHIORNIE,yes,no,no,no,no,yes,Russian : yes,"Russian->English : yes
Russian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Romane Chave, Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle, Musique tsigane, Romane Chave",,,Europe,Europe,Romani,Romani,TRUE,,,,,,,,,,,
OVAKO SE BIBER SIJE,yes,yes,no,no,no,yes,BCMS : yes,"BCMS->English : yes
BCMS->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Easy,"Children's song, Nursery rhyme, Traditional music, Traditional song","Chanson enfantine, Chant traditionnel, Comptine, Musique traditionnelle",,"Agriculture, daily gesture, food, knowledge transmission, nature, plant, seed","Croatia, Balkans, South-Eastern Europe","Croatie, Balkans, Europe du Sud-Est","BCMS (Bosnian, Croatian, Montenegrian, Serbian)","BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
OY HODYT SON,yes,no,no,no,no,no,no,no,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme, Traditional music, Traditional song","Chanson enfantine, Chant traditionnel, Comptine, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
OY SMEREKO,no,no,NA,no,no,yes,NA,NA,NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Easy,Traditional music,Musique traditionnelle,,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,FALSE,,,,,,,,,,,
OY TAM NA MORI NA SYNOMU,no,no,no,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,,"Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
OY U VISHNEVOMU SADU,yes,no,no,no,no,yes,Ukrainian : yes,"Ukrainian->English : yes
Ukrainian->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Easy,"Traditional music, Traditional song","Chant traditionnel, Musique traditionnelle",,"Ukrainian: cherry orchard, coming of age, emotion, life cycle, love, mother- daughter relationship, nature, nightingale's song, parental autority, self assertion, worry","Ukraine, Eastern Europe","Ukraine, Europe de l'Est",Ukrainian,Ukrainien,TRUE,,,,,,,,,,,
PADAM PADAM,no,no,no,no,no,no,French : yes,English->French : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Francophone chanson, French song","Chanson française, Chanson francophone",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
PAPIROSEN,yes,no,no,no,no,yes,Yiddish : yes,Yiddish->English : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Klezmer,Klezmer,,,"Central Europe, Eastern Europe, Western Europe","Europe centrale, Europe de l'Est, Europe de l'Ouest",Yiddish,Yiddish,TRUE,,,,,,,,,,,
"PARANAUE, PARANA",no,no,no,no,no,no,Portuguese : yes,"Portuguese->English : yes
Portuguese->French : yes",NA,yes,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,"Traditional music, Traditional song, Capoeira song ","Musique traditionnelle, Chant traditionnel, Chant de capoeira",,,"Brazil, South America","Brésil, Amérique du Sud",Portuguese,Portugais,TRUE,,,,,,,,,,,
PASSE PASSERA,no,no,French : yes,no,no,yes,French : yes,French->English : yes,NA,no,yes,"Children
Teenagers 
Adults 
Seniors",Easy,"Nursery rhyme, Rondeau, Traditional music, Traditional song","Chant traditionnel, Comptine, Musique traditionnelle, Rondeau ",,,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
PASTIRCE MLADO - LEPA ANKA KOLO VODI,yes,no,no,no,no,yes,Slovenian&BCMS : yes,"Slovenian&BCMS->English : yes
Slovenian&BCMS->French : yes
Slovenian&BCMS->German : yes",NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,"Kolo, Traditional dance, Traditional music","Danse traditionnelle, Kolo, Musique traditionnelle",,,"Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, 
North Macedonia, Montenegro, Slovenia, Balkans, South-Eastern Europe","Albanie, Bosnie-Herzégovine, Bulgarie, Croatie, Kosovo, Macédoine du Nord, Monténégro, Balkans, Europe du Sud-Est","Slovenian, BCMS (Bosnian, Croatian, Montenegrian, Serbian)","Slovène, BCMS (Bosnien, Croate, Monténégrin, Serbe)",TRUE,,,,,,,,,,,
PETIT ESCARGOT,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,"Children's song, Nursery rhyme","Comptine, Chanson enfantine","Abris, animal, bonheur, joie, maison, météo, nature, pluie",,"France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
PETIT GARCON,no,no,no,no,no,yes,"French : yes
English : yes","French->English : yes
English->French : yes",NA,no : Mate,NA,"Children
Seniors",Intermediate,"Children's song, Traditional music, Traditional song","Chant traditionnel, Chanson enfantine, Musique traditionnelle","Attente, cadeaux , clochette, comportement, enfance, étoile, être sage, fatigue, 
hiver, jouets, magie de Noël, nuit, Noël, passage au sommeil, père Noël, surprise","English: Childhood, Christmas, dream, gift, jingle bell, magic, night, Santa Claus, 
toy, train, transition to sleep, waiting ","United States of America, North America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
PETIT PAYS_CESARIA EVORA,no,no,no,no,no,no,Cape verdean creole : yes,"Cape verdean creole->French : yes
Cape verdean creole->English : no",NA,no,NA,"Adults 
Seniors",Advanced,"Coladeira, Morna","Coladeira, Morna",,,"Cape Verde, West Africa","Cap Vert, Afrique de l'Ouest",Cape Verdean Creole,Créole capverdien,TRUE,,,,,,,,,,,
PETIT PAYS_GAEL FAYE,no,no,no,no,no,no,Kinyarwanda&French : yes,Kinyarwanda&French->English : yes,NA,no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Francophone chanson,Chanson francophone,,,"France, Western Europe","France, Europe de l'Ouest","Kinyarwanda, French","Kinyarwanda, Français",TRUE,,,,,,,,,,,
