Title,Group audio,Violin audio,Singing audio,Guitar audio,Percussion audio,Music score,Lyrics,Translations,Plurilingual songs,History,Videos,Beneficiaries,Difficulty Level,Musical style,Style musical,Thèmes,Themes,Country/Geographic origin,Pays/origine géographique,Language of origin,Langue d'origine,IS A SONG,NEWSLETTER,,,,,,,,,,
BONJOUR COMMENT CA VA,no,no,no,no,no,yes,French : yes,French->English : yes,NA,no,NA,Children,Easy,Nursery rhyme,Comptine,"Bonjour, politesse, question- réponse, quotidien, répétition, salutation ","daily life, greeting, hello, politeness, question and answer, repetition","France, Western Europe","France, Europe de l'Ouest",French,Français,TRUE,,,,,,,,,,,
BRASOVEANCA,no,no,no,no,no,yes,no,no,NA,no,NA,"Teenagers
Adults",Intermediate,"Traditional song, Traditional dance","Musique traditionnelle, Danse traditionnelle",,,"Romania, Central Europe, Eastern Europe, Western Europe","Roumanie, Europe centrale, Europe de l'Est, Europe de l'Ouest",Romanian,Roumain,TRUE,,,,,,,,,,,
BUKUROSHJA E LALES,no,no,no,no,no,no,Albanian : yes,"Albanian->English : yes
Albanian->French : yes",NA,no,NA,"Children
Teenagers 
Adults 
Seniors",Intermediate,Traditional song,"Musique traditionnelle, Chant traditionnel","amour, beauté de la mariée, mariage, mariée, pureté, robe blanche","Albanian: Bride, bride's beauty, love, marriage, purity, white dress","Albania, South-Eastern Europe","Albanie, Europe du Sud-Est",Albanian,Albanais,TRUE,,,,,,,,,,,
BUNT SIND SCHON DIE WALDER,no,no,no,no,no,no,German : yes,"German->English : yes
German->French : yes",NA,no,NA,Children,Easy,Nursery rhyme,Comptine,"automne, beauté éphémère, célébration, coings, cycle de la vie, danse, fruit, légume, nature, pêches, poires, prunes, raisin, travail agricole","German: Agricultural work, autumn, celebration, cycle of life, dance, 
ephemeral beauty, fruit, grape, nature, peaches, pears, plums, quinces, vegetable ","Germany, Western Europe","Allemagne, Europe de l'Ouest",German,Allemand,TRUE,,,,,,,,,,,
CAD E SIN DON TE SIN,no,no,no,no,no,yes,Gaelic : yes,"Gaelic->English : yes
Gaelic->French : yes",NA,"French : yes
English : yes",NA,"Children
Teenagers 
Adults 
Seniors",Advanced,Traditional song,"Musique traditionnelle, Chant traditionnel","amour, attraction, eau, émotion, fille, jeunesse, passion, souffrance","BCMS: Attraction, émotion, girl, love, passion, suffering, water, youth","Ireland, North-Western Europe","Irlande, Europe du Nord-Ouest",Gaelic ,Gaélique ,TRUE,,,,,,,,,,,
CAJORIJE SUKARIJE,yes,"Notes : yes
Scale : yes
Slow speed : yes
Original speed : yes","Singing Notes : yes
Singing Scale : yes
Romani Slow speed : yes
Romani Original speed : yes
Romani Lyrics in rhythm : yes ",no,"Darbouka Original speed : yes
Darbouka Slow speed : yes
Darbouka Rhythmic pattern : yes",yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Traditional song, Gipsy song","Chant traditionnel, Musique tsigane","amour, attraction, eau, émotion, fille, jeunesse, passion, souffrance","Romani: Attraction, émotion, girl, love, passion, suffering, water, youth",Europe,Europe,Romani,Romani,TRUE,,,,,,,,,,,
CALIFORNIA DREAMIN',no,no,no,no,no,no,"1. English : yes
2. French : yes","1. English->French : yes
2. French->English : yes","1. English : CALIFORNIA DREAMIN'
2. French : LA TERRE PROMISE",no,NA,"Teenagers 
Adults 
Seniors",Intermediate,Folk rock,Rock folk,,,"United States of America, Northern America","Etats-Unis, Amérique du Nord",English,Anglais,TRUE,,,,,,,,,,,
CANCION SIN MIEDO,no,no,no,no,no,yes,Spanish : yes,"Spanish->English : yes
Spanish->French: yes",NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Advanced,Protest song,Chanson engagée,"amour protecteur, autonomisation des femmes, colère, commémoration, courage, deuil, droits humains, émotions, féminicide, justice, justice sociale, lutte collective, résistance, résilience, révolte, solidarité féminine, violence envers les femmes","Spanish: Anger, collective struggle, commemoration, courage, émotions, feminicide, female solidarity, grief, human rights, justice, protective love, resilience, resistance, revolt, social justice, violence against women, women's empowerment ","Mexico, Latin America, Northern America","Mexique, Amérique Latine, Amérique du Nord",Spanish,Espagnol,TRUE,,,,,,,,,,,
CANTEC DE LEAGAN,yes,no,no,no,no,yes,Romani : yes,"Romani->English : yes
Romani->French : yes",NA,no,NA,Children,Easy,"Lullaby, Traditional song","Berceuse, Chant traditionnel",,,"Romania, Central Europe, Eastern Europe, Western Europe","Roumanie, Europe centrale, Europe de l'Est, Europe de l'Ouest",Romanian,Roumain,TRUE,,,,,,,,,,,
CARINITO,no,"Notes : yes
Slow speed : yes
Original speed : yes","Spanish lyrics in rhythm : yes
Notes : yes
Scale : no
Spanish slow speed : yes
Spanish original speed : yes",no,"Cajon Original speed : yes
Cajon Slow speed : yes
Cajon Rhythmic pattern : yes",yes,Spanish : yes,Spanish->French : yes,NA,"French : yes
English : yes",NA,"Teenagers 
Adults 
Seniors",Intermediate,"Cumbia, Traditional song","Chant traditionnel, Cumbia","abandon, amour, désir, émotions, peur, relation amoureuse, tristesse","Spanish: Abandonment, desire, émotions, fear, love, romantic relationship, sadness","Peru, Latin America, Southern America","Pérou, Amérique latine, Amérique du Sud",Spanish,Espagnol,TRUE,,,,,,,,,,,
